time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
11,0,0,0,1.0,0,0,2,3.62,0.3192701466542963,0.39451796148900503,40783672,973078528,59768832,0,0,0,20059,3,63171,0.009752429,0.14645173,0.9962247,0.9962247
1076,176,176,0,1.0,69784,69784,2,3.41,0.22330097087378642,0.21359223300970875,28410568,973078528,59768832,0,0,0,20147,8,63435,0.026901057,0.4166666,0.94549495,0.94549495
2077,221,221,0,1.0,74445,74445,2,3.41,0.21717171717171718,0.21212121212121213,17847304,973078528,59768832,0,0,0,20224,13,63750,0.28132263,0.15138726,0.7861546,0.7861546
3077,210,210,0,1.0,66689,66689,2,3.41,0.45049504950495045,0.4752475247524752,20654056,973078528,72351744,0,0,0,20287,19,64044,0.5141687,0.08271513,0.9248814,0.9248814
4078,217,217,0,1.0,66385,66385,2,3.41,0.3299492385786802,0.3197969543147208,67027336,973078528,87031808,0,0,0,20346,27,64344,0.5291245,0.08247614,0.9245654,0.9245654
5079,189,189,0,1.0,54816,54816,2,3.41,0.14,0.14500000000000002,65281408,973078528,104857600,0,0,0,20388,34,64605,0.2870192,0.1728645,0.90168494,0.90168494
6079,236,236,0,1.0,71469,71469,2,3.14,0.24000000000000002,0.23500000000000001,41919288,973078528,104857600,0,0,0,20451,44,64929,0.4222784,0.11413993,0.9564571,0.9564571
7080,202,202,0,1.0,60204,60423,2,3.14,0.16417910447761194,0.17412935323383086,83396960,973078528,104857600,0,0,0,20502,53,65208,0.640105,0.09561493,0.91243166,0.91243166
8081,208,208,0,1.0,62105,61886,2,3.14,0.28,0.28,61251024,973078528,104857600,0,0,0,20554,61,65493,0.42960483,0.12750062,0.85895777,0.85895777
9082,214,214,0,1.0,63224,63224,2,3.14,0.12000000000000001,0.115,50880440,973078528,104857600,0,0,0,20606,70,65787,0.57123834,0.1339312,0.8228492,0.8228492
10083,232,232,0,1.0,69416,69416,2,3.14,0.034999999999999996,0.034999999999999996,84892864,973078528,104857600,0,0,0,20664,79,66108,0.44009554,0.14565764,0.93126094,0.93126094
11090,222,222,0,1.0,65603,65603,2,2.89,0.02512562814070352,0.01507537688442211,78376904,973078528,104857600,0,0,0,20719,89,66411,0.5270626,0.12145956,0.9096115,0.9096115
12091,240,240,0,1.0,71795,71795,2,2.89,0.155,0.16,65652696,973078528,104857600,0,0,0,20780,99,66741,0.60557693,0.099289864,0.94838953,0.94838953
13092,222,222,0,1.0,66396,66396,2,2.89,0.03,0.025,55845168,973078528,104857600,0,0,0,20836,108,67047,0.6095345,0.121502146,0.91866857,0.91866857
14092,232,232,0,1.0,68623,68623,2,2.89,0.02,0.025,49616288,973078528,104857600,0,0,0,20893,118,67365,0.6200803,0.099515386,0.9561489,0.9561489
15093,220,220,0,1.0,65603,65603,2,2.89,0.125,0.125,35842640,973078528,104857600,0,0,0,20948,127,67668,0.50321335,0.12162451,0.91934305,0.91934305
16094,240,240,0,1.0,72425,72425,2,2.66,0.07960199004975124,0.08457711442786069,44344304,973078528,104857600,0,0,0,21011,137,67998,0.53784895,0.09875817,0.9486775,0.9486775
17095,222,222,0,1.0,65766,65766,2,2.66,0.03482587064676617,0.03482587064676617,34966736,973078528,104857600,0,0,0,21065,146,68304,0.6110566,0.111805245,0.91297805,0.91297805
18095,223,223,0,1.0,67819,67819,2,2.66,0.06,0.06,47506048,973078528,104857600,0,0,0,21124,156,68613,0.59539914,0.15984367,0.884514,0.884514
19096,221,221,0,1.0,65288,65288,2,2.66,0.08585858585858586,0.08080808080808081,25667016,973078528,104857600,0,0,0,21178,165,68916,0.54833376,0.14090607,0.8548835,0.8548835
20097,241,241,0,1.0,72903,72903,2,2.66,0.04950495049504951,0.054455445544554455,47607192,973078528,104857600,0,0,0,21241,175,69249,0.48937413,0.10476968,0.9523702,0.9523702
21098,221,221,0,1.0,65603,65603,2,2.44,0.06930693069306931,0.07425742574257425,76414288,973078528,104857600,0,0,0,21296,184,69552,0.4440803,0.12574205,0.89511424,0.89511424
22098,250,250,0,1.0,75760,75760,2,2.44,0.03015075376884422,0.03015075376884422,52398680,973078528,104857600,0,0,0,21362,194,69896,0.60138553,0.12777552,0.9123673,0.9123673
23099,220,220,0,1.0,65603,65603,2,2.44,0.025252525252525252,0.020202020202020204,41659504,973078528,104857600,0,0,0,21417,203,70200,0.5494699,0.121604055,0.9163172,0.9163172
24100,233,233,0,1.0,70361,70361,2,2.44,0.06565656565656566,0.050505050505050504,52668000,973078528,104857600,0,0,0,21478,213,70521,0.56552064,0.098729186,0.966962,0.966962
25100,214,214,0,1.0,62909,62909,2,2.44,0.11940298507462688,0.12437810945273632,77937512,973078528,104857600,0,0,0,21529,222,70815,0.5558732,0.10815988,0.92597306,0.92597306
26101,214,214,0,1.0,64799,64799,2,2.25,0.295,0.295,65598816,973078528,104857600,0,0,0,21586,231,71109,0.57896,0.17692801,0.9324363,0.9324363
27102,197,197,0,1.0,57988,57988,2,2.25,0.295,0.3,35130536,973078528,104857600,0,0,0,21632,238,71382,0.5168574,0.16023767,0.88404834,0.88404834
28103,206,206,0,1.0,62887,62887,2,2.25,0.475,0.475,79522824,973078528,104857600,0,0,0,21689,248,71664,0.33000606,0.16519095,0.9347797,0.9347797
29103,198,198,0,1.0,57673,57673,2,2.25,0.145,0.14500000000000002,23739376,973078528,104857600,0,0,0,21734,255,71937,0.58167285,0.19069138,0.9038576,0.9038576
30104,244,244,0,1.0,73696,73696,2,2.25,0.05025125628140704,0.04020100502512563,57367392,973078528,104857600,0,0,0,21798,266,72273,0.5223884,0.12618707,0.93883175,0.93883175
31105,220,220,0,1.0,65918,65918,2,2.07,0.02,0.025,38419472,973078528,104857600,0,0,0,21854,275,72576,0.5010727,0.12908468,0.88443357,0.88443357
32106,240,240,0,1.0,71480,71480,2,2.07,0.03482587064676617,0.03980099502487562,28540040,973078528,104857600,0,0,0,21914,285,72906,0.58414304,0.107401945,0.9403228,0.9403228
33106,227,227,0,1.0,68297,68297,2,2.07,0.10500000000000001,0.10500000000000001,50958744,973078528,104857600,0,0,0,21973,295,73218,0.62824285,0.07894022,0.8983603,0.8983603
34107,228,228,0,1.0,68775,68775,2,2.07,0.034999999999999996,0.034999999999999996,82961512,973078528,104857600,0,0,0,22032,304,73533,0.55416566,0.08953395,0.9351641,0.9351641
35108,237,237,0,1.0,71947,71947,2,2.07,0.12562814070351758,0.12060301507537688,28199256,973078528,104857600,0,0,0,22095,313,73860,0.44061854,0.09498082,0.93026704,0.93026704
36108,236,236,0,1.0,71317,71317,2,1.9,0.025,0.025,69197496,973078528,104857600,0,0,0,22156,322,74187,0.4759076,0.11046951,0.92322433,0.92322433
37109,223,223,0,1.0,66396,66396,2,1.9,0.06091370558375635,0.050761421319796954,39376264,973078528,104857600,0,0,0,22212,331,74493,0.45365375,0.13015477,0.89937127,0.89937127
38110,231,231,0,1.0,68623,68623,2,1.9,0.024752475247524754,0.029702970297029705,27889656,973078528,104857600,0,0,0,22269,341,74811,0.54197115,0.1067184,0.9472981,0.9472981
39111,212,212,0,1.0,62431,62431,2,1.9,0.014925373134328358,0.01990049751243781,82801464,973078528,104857600,0,0,0,22320,350,75102,0.6467566,0.12876311,0.90108275,0.90108275
40111,235,235,0,1.0,71154,71154,2,1.9,0.08040201005025124,0.08040201005025126,67192584,973078528,104857600,0,0,0,22382,360,75426,0.5628884,0.0962645,0.9144978,0.9144978
41112,249,249,0,1.0,76390,76390,2,1.75,0.07425742574257425,0.07920792079207921,61952984,973078528,104857600,0,0,0,22450,369,75771,0.51938725,0.11335887,0.8986036,0.8986036
42113,218,218,0,1.0,64495,64495,2,1.75,0.04,0.04,26774216,973078528,104857600,0,0,0,22503,378,76071,0.5822735,0.1445243,0.90630436,0.90630436
43114,234,234,0,1.0,70361,70361,2,1.75,0.09090909090909091,0.08080808080808081,68969744,973078528,104857600,0,0,0,22564,388,76392,0.6262379,0.095829494,0.9319234,0.9319234
44114,226,226,0,1.0,67352,67352,2,1.75,0.04477611940298507,0.04975124378109452,40667696,973078528,104857600,0,0,0,22620,397,76704,0.5782958,0.11321497,0.9331657,0.9331657
45115,229,229,0,1.0,68775,68775,2,1.75,0.035175879396984924,0.02512562814070352,80331712,973078528,104857600,0,0,0,22679,407,77019,0.57055146,0.08915598,0.9203064,0.9203064
46115,225,225,0,1.0,66244,66244,2,1.61,0.010050251256281407,0.010050251256281407,73792488,973078528,104857600,0,0,0,22733,416,77328,0.558561,0.10885512,0.92823786,0.92823786
47116,219,219,0,1.0,64495,64495,2,1.61,0.019801980198019802,0.0297029702970297,64434200,973078528,104857600,0,0,0,22786,426,77628,0.5583955,0.0874251,0.9393608,0.9393608
48122,234,234,0,1.0,71154,71373,2,1.61,0.04926108374384237,0.06403940886699507,37178488,973078528,104857600,0,0,1,22849,436,77953,0.60609066,0.19364315,0.92050743,0.92050743
49122,227,227,0,1.0,67667,67448,2,1.61,0.04477611940298507,0.04477611940298507,82686896,973078528,104857600,0,0,0,22905,445,78264,0.5457063,0.12995784,0.86576205,0.86576205
50123,231,231,0,1.0,68623,68623,2,1.61,0.015151515151515152,0.005050505050505051,76610080,973078528,104857600,0,0,0,22962,455,78582,0.5825312,0.10250033,0.92058337,0.92058337
51124,221,221,0,1.0,65918,65918,2,1.48,0.11055276381909548,0.10552763819095477,35112648,973078528,104857600,0,0,0,23018,464,78885,0.51586187,0.1185471,0.90567786,0.90567786
52125,229,229,0,1.0,68460,68460,2,1.48,0.04455445544554455,0.0594059405940594,68128448,973078528,104857600,0,0,0,23076,474,79200,0.5673488,0.08440685,0.92089593,0.92089593
53125,221,221,0,1.0,64973,64973,2,1.48,0.015,0.015,62284200,973078528,104857600,0,0,0,23129,483,79503,0.5590714,0.10669499,0.9020754,0.9020754
54126,218,218,0,1.0,64180,64180,2,1.48,0.015,0.015,56307520,973078528,104857600,0,0,0,23181,492,79803,0.59851754,0.12893873,0.92416245,0.92416245
55127,239,239,0,1.0,74000,74000,2,1.48,0.17412935323383086,0.18407960199004977,78828928,973078528,104857600,0,0,0,23249,502,80133,0.5411686,0.08870785,0.93579346,0.93579346
56127,198,198,0,1.0,57673,57673,2,1.52,0.13432835820895522,0.13432835820895522,25798840,973078528,104857600,0,0,0,23294,510,80406,0.6231118,0.127556,0.9130831,0.9130831
57128,231,231,0,1.0,70198,70198,2,1.52,0.24120603015075376,0.23618090452261306,80105048,973078528,104857600,0,0,0,23356,519,80724,0.4232905,0.12846655,0.89227504,0.89227504
58129,221,221,0,1.0,66711,66711,2,1.52,0.115,0.115,23635464,973078528,104857600,0,0,0,23413,528,81030,0.6189083,0.16103654,0.93257135,0.93257135
59129,217,217,0,1.0,64332,64332,2,1.52,0.13131313131313133,0.12121212121212122,36630392,973078528,104857600,0,0,0,23467,537,81327,0.4725385,0.12904832,0.90748703,0.90748703
60130,183,183,0,1.0,55272,55272,2,1.52,0.34500000000000003,0.345,30347288,973078528,104857600,0,0,0,23515,547,81579,0.4388262,0.048155263,0.79686725,0.79686725
61131,191,191,0,1.0,57184,57184,2,1.48,0.54,0.54,82276984,973078528,104857600,0,0,0,23563,552,81843,0.31092817,0.16137995,0.86661273,0.86661273
62132,203,203,0,1.0,61149,61149,2,1.48,0.27,0.27,50372064,973078528,104857600,0,0,0,23616,563,82122,0.42326927,0.06466013,0.90743303,0.90743303
63133,201,201,0,1.0,58781,58781,2,1.48,0.18181818181818182,0.1717171717171717,77498872,973078528,104857600,0,0,0,23663,570,82398,0.50701123,0.22792241,0.91982603,0.91982603
64133,234,234,0,1.0,70361,70361,2,1.48,0.024752475247524754,0.039603960396039604,56763672,973078528,104857600,0,0,0,23724,580,82719,0.5490964,0.08727518,0.94516206,0.94516206
65134,230,230,0,1.0,68623,68623,2,1.48,0.01990049751243781,0.01990049751243781,47898128,973078528,104857600,0,0,0,23781,589,83037,0.54764,0.1094693,0.940234,0.940234
66134,219,219,0,1.0,64810,64810,2,1.36,0.020100502512562814,0.01507537688442211,35712256,973078528,104857600,0,0,0,23835,599,83337,0.6160506,0.087589346,0.9448305,0.9448305
67135,219,219,0,1.0,63865,63865,2,1.36,0.015151515151515152,0.005050505050505051,29296216,973078528,104857600,0,0,0,23886,608,83637,0.54512477,0.10918343,0.93398714,0.93398714
68136,219,219,0,1.0,65344,65563,2,1.36,0.07425742574257425,0.0891089108910891,79684376,973078528,104857600,0,0,0,23943,618,83937,0.5682446,0.07879966,0.9091978,0.9091978
